ID,time,lat,lng,weight_KG,last_pickup,full,empty
1,12:00,44.013244,-78.711661,75,6,1,0
2,12:00,44.015452,-78.724815,75,5,1,0
3,12:00,44.033365,-78.725698,75,6,1,0
4,12:00,44.03763,-78.738665,75,6,1,0
5,12:00,44.001743,-78.723625,75,5,1,0
6,12:00,44.0312,-78.726535,75,5,1,0
7,12:00,44.037028,-78.74643,75,6,1,0
8,12:00,44.012846,-78.712609,75,6,1,0
9,12:00,44.044738,-78.712529,75,7,1,0
10,12:00,44.032297,-78.70502,75,6,1,0
11,12:00,44.045212,-78.733415,75,5,1,0
12,12:00,44.043491,-78.731895,75,5,1,0
13,12:00,44.038853,-78.716475,75,6,1,0
14,12:00,44.026144,-78.711496,75,6,1,0
15,12:00,44.014691,-78.743446,75,7,1,0
16,12:00,44.0369,-78.734219,75,6,1,0
17,12:00,44.015813,-78.716082,75,6,1,0
18,12:00,44.031041,-78.731075,75,7,1,0
19,12:00,44.017769,-78.733532,75,7,1,0
20,12:00,44.045598,-78.738403,75,6,1,0
21,12:00,44.02437,-78.734908,75,5,1,0
22,12:00,44.022744,-78.701519,75,6,1,0
23,12:00,44.045628,-78.717435,75,7,1,0
24,12:00,44.014441,-78.707498,75,6,1,0
25,12:00,44.041317,-78.724066,75,6,1,0
26,12:00,44.048557,-78.728436,75,5,1,0
27,12:00,44.015939,-78.703357,75,7,1,0
28,12:00,44.015463,-78.724101,75,6,1,0
29,12:00,44.023041,-78.728774,75,7,1,0
30,12:00,44.028072,-78.721058,75,6,1,0
31,12:00,44.027282,-78.745916,75,6,1,0
32,12:00,44.018866,-78.725902,75,6,1,0
33,12:00,44.03279,-78.728968,75,5,1,0
34,12:00,44.023802,-78.712679,75,6,1,0
35,12:00,44.012404,-78.734839,75,7,1,0
36,12:00,44.046813,-78.728625,75,5,1,0
37,12:00,44.017309,-78.724644,75,6,1,0
38,12:00,44.012323,-78.726933,75,7,1,0
39,12:00,44.026644,-78.734934,75,5,1,0
40,12:00,44.007962,-78.727288,75,7,1,0
41,12:00,44.018953,-78.704542,75,7,1,0
42,12:00,44.014389,-78.737956,75,5,1,0
43,12:00,44.046641,-78.74479,75,7,1,0
44,12:00,44.037104,-78.713187,75,5,1,0
45,12:00,44.013568,-78.746513,75,5,1,0
46,12:00,44.035167,-78.717267,75,6,1,0
47,12:00,44.028764,-78.721562,75,5,1,0
48,12:00,44.013866,-78.743726,75,6,1,0
49,12:00,44.003255,-78.702548,75,7,1,0
50,12:00,44.011975,-78.714189,75,5,1,0
51,12:00,44.013732,-78.714066,75,6,1,0
52,12:00,44.041516,-78.748029,75,5,1,0
53,12:00,44.031794,-78.738067,75,7,1,0
54,12:00,44.014639,-78.725963,75,5,1,0
55,12:00,44.035077,-78.703258,75,6,1,0
56,12:00,44.011407,-78.737476,75,6,1,0
57,12:00,44.027285,-78.701373,75,5,1,0
58,12:00,44.046785,-78.713836,75,6,1,0
59,12:00,44.017412,-78.713023,75,5,1,0
60,12:00,44.038958,-78.728548,75,5,1,0
61,12:00,44.031751,-78.73796,75,7,1,0
62,12:00,44.036132,-78.724722,75,6,1,0
63,12:00,44.024229,-78.718155,75,7,1,0
64,12:00,44.032078,-78.737729,75,7,1,0
65,12:00,44.011115,-78.718286,75,6,1,0
66,12:00,44.028737,-78.721806,75,6,1,0
67,12:00,44.045537,-78.703271,75,6,1,0
68,12:00,44.026897,-78.72601,75,7,1,0
69,12:00,44.015994,-78.728632,75,7,1,0
70,12:00,44.034221,-78.71404,75,6,1,0
71,12:00,44.026581,-78.711969,75,6,1,0
72,12:00,44.045663,-78.718489,75,6,1,0
73,12:00,44.031264,-78.718696,75,5,1,0
74,12:00,44.014569,-78.716791,75,7,1,0
75,12:00,44.02506,-78.744022,75,5,1,0
76,12:00,44.042754,-78.705092,75,5,1,0
77,12:00,44.018179,-78.717127,75,7,1,0
78,12:00,44.018779,-78.744314,75,5,1,0
79,12:00,44.047714,-78.741291,75,7,1,0
80,12:00,44.024332,-78.716087,75,6,1,0
81,12:00,44.034947,-78.738928,75,6,1,0
82,12:00,44.003108,-78.703356,75,6,1,0
83,12:00,44.031518,-78.727574,75,5,1,0
84,12:00,44.013682,-78.734375,75,6,1,0
85,12:00,44.017589,-78.734762,75,5,1,0
86,12:00,44.038419,-78.712033,75,6,1,0
87,12:00,44.038887,-78.725741,75,6,1,0
88,12:00,44.014513,-78.734961,75,7,1,0
89,12:00,44.035811,-78.717686,75,7,1,0
90,12:00,44.00284,-78.72174,75,6,1,0
91,12:00,44.018276,-78.744607,75,5,1,0
